588	chr1	501166	501266	50	U	100	contig	no
588	chr1	523343	523443	52	U	100	contig	no
594	chr1	1203061	1203161	96	U	100	contig	no
607	chr1	2903586	2903686	182	U	100	contig	no
613	chr1	3781399	3781499	234	U	100	contig	no
619	chr1	4501025	4501125	264	U	100	contig	no
629	chr1	5807282	5807382	332	U	100	contig	no
635	chr1	6562833	6562933	362	U	100	contig	no
644	chr1	7855990	7856090	404	U	100	contig	no
647	chr1	8148987	8149087	444	U	100	contig	no
647	chr1	8230977	8231077	456	U	100	contig	no
650	chr1	8581329	8581429	482	U	100	contig	no
651	chr1	8700865	8700965	494	U	100	contig	no
653	chr1	8947129	8947229	524	U	100	contig	no
662	chr1	10219953	10220053	654	U	100	contig	no
663	chr1	10309299	10309399	666	U	100	contig	no
686	chr1	13322517	13322617	824	U	100	contig	no
691	chr1	13942180	13942280	838	U	100	contig	no
701	chr1	15325947	15326047	942	U	100	contig	no
702	chr1	15431970	15432070	946	U	100	contig	no
712	chr1	16683855	16683955	1052	U	100	contig	no
713	chr1	16801815	16801915	1056	U	100	contig	no
719	chr1	17567525	17567625	1074	U	100	contig	no
725	chr1	18385467	18385567	1104	U	100	contig	no
739	chr1	20226377	20226477	1204	U	100	contig	no
748	chr1	21452074	21452174	1278	U	100	contig	no
754	chr1	22181123	22181223	1310	U	100	contig	no
759	chr1	22823719	22823819	1380	U	100	contig	no
770	chr1	24285990	24286090	1448	U	100	contig	no
781	chr1	25769373	25769473	1558	U	100	contig	no
781	chr1	25802041	25802141	1560	U	100	contig	no
782	chr1	25933164	25933264	1566	U	100	contig	no
783	chr1	25959531	25959631	1570	U	100	contig	no
795	chr1	27652305	27652405	1742	U	100	contig	no
796	chr1	27712545	27712645	1750	U	100	contig	no
796	chr1	27732970	27733070	1756	U	100	contig	no
826	chr1	31614330	31614430	1988	U	100	contig	no
838	chr1	33234568	33234668	2082	U	100	contig	no
847	chr1	34347843	34347943	2122	U	100	contig	no
847	chr1	34399858	34399958	2130	U	100	contig	no
858	chr1	35817455	35817555	2220	U	100	contig	no
885	chr1	39405079	39405179	2380	U	100	contig	no
915	chr1	43266029	43266129	2484	U	100	contig	no
915	chr1	43358742	43358842	2486	U	100	contig	no
922	chr1	44242144	44242244	2516	U	100	contig	no
925	chr1	44656180	44656280	2536	U	100	contig	no
929	chr1	45090085	45090185	2562	U	100	contig	no
949	chr1	47797657	47797757	2674	U	100	contig	no
949	chr1	47836333	47836433	2676	U	100	contig	no
974	chr1	51116144	51116244	2762	U	100	contig	no
1009	chr1	55592355	55592455	2934	U	100	contig	no
1024	chr1	57667506	57667606	2974	U	100	contig	no
1072	chr1	63864883	63864983	3118	U	100	contig	no
1116	chr1	69650449	69650549	3256	U	100	contig	no
1168	chr1	76420566	76420666	3412	U	100	contig	no
1202	chr1	80947479	80947579	3504	U	100	contig	no
1219	chr1	83175324	83175424	3552	U	100	contig	no
1301	chr1	93898098	93898198	3824	U	100	contig	no
1338	chr1	98704559	98704659	3946	U	100	contig	no
1351	chr1	100452661	100452761	3996	U	100	contig	no
1351	chr1	100485182	100485282	3998	U	100	contig	no
1382	chr1	104546602	104546702	4104	U	100	contig	no
1397	chr1	106533825	106533925	4174	U	100	contig	no
1398	chr1	106691453	106691553	4180	U	100	contig	no
1417	chr1	109177053	109177153	4238	U	100	contig	no
1424	chr1	110046621	110046721	4272	U	100	contig	no
1424	chr1	110085647	110085747	4274	U	100	contig	no
1425	chr1	110104593	110104693	4280	U	100	contig	no
1512	chr1	121581206	121581306	4592	U	100	contig	no
1512	chr1	121611705	121611805	4594	U	100	contig	no
1526	chr1	123370755	123370855	4668	U	100	contig	no
1530	chr1	123913744	123913844	4686	U	100	contig	no
1556	chr1	127376447	127376547	4868	U	100	contig	no
1567	chr1	128800401	128800501	4952	U	100	contig	no
